orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
4.093578461,2.5833,538.6,2.85,1182.0,461.07,0.999,6077.0,CONFIRMED,KEPLER
105.145959,8.593,685.4,3.43,401.0,6.09,0.999,6077.0,CONFIRMED,KEPLER
10.8484518,2.9993,1675.6,2.34,499.0,14.66,0.591,4201.0,CONFIRMED,KEPLER
6.66833241,1.915,362.3,1.18,587.0,28.06,0.591,4201.0,CONFIRMED,KEPLER
4.082274889,3.23015,17859.0,10.55,1016.0,251.48,0.794,5655.0,CONFIRMED,KEPLER
3.886655224,3.1646,581.6,1.87,1010.0,246.29,0.738,5662.0,CANDIDATE,KEPLER
42.1406089,5.083,895.5,1.85,349.0,3.49,0.646,4500.0,CONFIRMED,KEPLER
4.617490562,2.2618,575.8,1.62,728.0,66.47,0.646,4500.0,CONFIRMED,KEPLER
10.19849255,2.4283,634.1,1.75,559.0,23.11,0.646,4500.0,CONFIRMED,KEPLER
5.795063956,3.2496,1692.9,4.33,950.0,192.74,0.827,5865.0,FALSE_POSITIVE,KEPLER
